Volumen,LfVeWasser,LfNaCl
0,7,1822
100,43.8,1862
200,80.7,1892
300,117.2,1921
400,153.9,1951
500,189.4,1981
600,225,2010
700,260,2040
800,293,2070
900,327,2090
1000,361,2110
1100,396,2130
1200,428,2150
1300,462,2160
1400,494,2170
1500,526,2190
1600,553,2200
1700,578,2210
1800,602,2220
1900,622,2240
2000,639,2250
2100,656,2260
2200,672,2280
2300,688,2290
2400,702,2300
2500,716,2320
2600,731,2330
2700,747,2340
2800,761,2350
2900,774,2360
3000,789,2380
3100,800,2390
3200,818,2400
3300,832,2420
3400,846,2430
3500,861,2440
3600,875,2460
3700,888,2470
3800,903,2480
3900,913,2490
4000,930,2500
