Zeit	Temperatur T1	Temperatur T2	Temperatur T3	Temperatur T4
0.00	20.86	21.03	21.27	21.33
5.00	20.87	21.03	21.26	21.32
10.00	20.86	21.03	21.26	21.33
15.00	20.87	21.03	21.25	21.34
20.00	20.86	21.02	21.27	21.33
25.00	20.88	21.03	21.25	21.33
30.00	20.87	21.03	21.25	21.32
35.00	20.86	21.03	21.26	21.33
40.00	20.88	21.02	21.25	21.34
45.00	20.87	21.03	21.26	21.33
50.00	20.88	21.03	21.26	21.33
55.00	20.87	21.03	21.26	21.32
60.00	20.87	21.03	21.26	21.33
65.00	20.88	21.03	21.26	21.33
70.00	20.88	21.03	21.26	21.32
75.00	20.88	21.03	21.27	21.33
80.00	20.88	21.03	21.27	21.33
85.00	20.87	21.04	21.26	21.34
90.00	20.89	21.03	21.25	21.32
95.00	20.88	21.04	21.26	21.34
100.00	20.87	21.04	21.27	21.34
105.00	20.89	21.05	21.27	21.34
110.00	20.89	21.05	21.25	21.33
115.00	20.89	21.05	21.26	21.34
120.00	20.89	21.04	21.27	21.34
125.00	20.90	21.05	21.27	21.33
130.00	20.88	21.05	21.27	21.33
135.00	20.90	21.06	21.26	21.33
140.00	20.90	21.05	21.27	21.34
145.00	20.90	21.06	21.27	21.33
150.00	20.90	21.05	21.26	21.33
155.00	20.89	21.04	21.26	21.33
160.00	20.90	21.05	21.28	21.34
165.00	20.91	21.06	21.27	21.33
170.00	20.90	21.07	21.26	21.33
175.00	20.91	21.06	21.26	21.34
180.00	20.90	21.06	21.26	21.34
185.00	20.90	21.06	21.27	21.33
190.00	20.90	21.07	21.28	21.35
195.00	20.90	21.07	21.27	21.34
200.00	20.91	21.07	21.28	21.34
205.00	20.92	21.06	21.27	21.33
210.00	20.91	21.05	21.26	21.33
215.00	20.91	21.06	21.27	21.32
220.00	20.92	21.05	21.27	21.33
225.00	20.91	21.06	21.27	21.34
230.00	20.90	21.05	21.28	21.34
235.00	20.92	21.08	21.30	21.34
240.00	20.92	21.08	21.29	21.35
245.00	20.92	21.07	21.29	21.35
250.00	20.91	21.07	21.30	21.36
255.00	20.91	21.07	21.30	21.37
260.00	20.92	21.09	21.32	21.39
265.00	20.93	21.08	21.33	21.39
270.00	20.92	21.09	21.34	21.39
275.00	20.91	21.09	21.34	21.39
280.00	20.93	21.10	21.33	21.41
285.00	20.93	21.10	21.35	21.41
290.00	20.92	21.10	21.36	21.41
295.00	20.92	21.10	21.36	21.41
300.00	20.93	21.11	21.36	21.44
305.00	20.93	21.12	21.36	21.43
310.00	20.93	21.12	21.37	21.43
315.00	20.93	21.11	21.38	21.43
320.00	20.94	21.13	21.39	21.44
325.00	20.93	21.11	21.40	21.44
330.00	20.93	21.13	21.39	21.44
335.00	20.93	21.12	21.40	21.46
340.00	20.94	21.13	21.39	21.46
345.00	20.94	21.13	21.41	21.45
350.00	20.94	21.13	21.41	21.47
355.00	20.94	21.14	21.43	21.49
360.00	20.94	21.14	21.43	21.49
365.00	20.94	21.14	21.45	21.49
370.00	20.95	21.15	21.44	21.50
375.00	20.96	21.15	21.43	21.48
380.00	20.96	21.16	21.45	21.52
385.00	20.95	21.17	21.47	21.53
390.00	20.96	21.18	21.48	21.55
395.00	20.95	21.18	21.50	21.57
400.00	20.96	21.19	21.52	21.57
405.00	20.96	21.20	21.53	21.59
410.00	20.97	21.22	21.55	21.62
415.00	20.98	21.22	21.55	21.61
420.00	20.97	21.22	21.57	21.62
425.00	20.98	21.25	21.64	21.65
430.00	21.00	21.30	21.69	21.73
435.00	20.99	21.33	21.69	21.72
440.00	21.01	21.25	21.43	21.43
445.00	21.11	21.32	21.43	21.46
450.00	21.19	21.37	21.45	21.50
455.00	21.15	21.53	21.45	21.50
460.00	21.25	21.62	21.56	21.59
465.00	21.28	21.63	21.43	21.49
470.00	21.43	21.67	21.41	21.47
475.00	21.43	21.77	21.40	21.46
480.00	21.57	21.92	21.42	21.47
485.00	21.63	21.91	21.42	21.47
490.00	21.89	22.04	21.41	21.47
495.00	21.92	22.03	21.42	21.49
500.00	21.86	22.04	21.44	21.49
505.00	21.99	22.24	21.42	21.49
510.00	21.92	22.13	21.42	21.49
515.00	22.09	22.18	21.43	21.50
520.00	22.07	22.22	21.42	21.49
525.00	22.02	22.23	21.44	21.50
530.00	22.09	22.24	21.43	21.50
535.00	22.07	22.25	21.44	21.50
540.00	22.18	22.31	21.45	21.50
545.00	22.19	22.38	21.44	21.51
550.00	22.19	22.33	21.44	21.50
555.00	22.20	22.33	21.44	21.51
560.00	22.20	22.37	21.43	21.50
565.00	22.20	22.39	21.46	21.50
570.00	22.24	22.39	21.45	21.52
575.00	22.25	22.42	21.45	21.51
580.00	22.25	22.41	21.46	21.52
585.00	22.26	22.42	21.46	21.52
590.00	22.27	22.43	21.45	21.53
595.00	22.28	22.44	21.47	21.52
600.00	22.27	22.43	21.47	21.52
605.00	22.27	22.45	21.46	21.53
610.00	22.29	22.46	21.46	21.51
615.00	22.29	22.46	21.47	21.52
620.00	22.30	22.46	21.46	21.53
625.00	22.30	22.45	21.47	21.53
630.00	22.32	22.48	21.48	21.53
635.00	22.30	22.47	21.47	21.53
640.00	22.32	22.48	21.47	21.53
645.00	22.33	22.47	21.46	21.53
650.00	22.33	22.47	21.47	21.53
655.00	22.33	22.49	21.47	21.53
660.00	22.33	22.48	21.47	21.54
665.00	22.33	22.49	21.47	21.54
670.00	22.32	22.50	21.48	21.55
675.00	22.34	22.49	21.48	21.53
680.00	22.34	22.50	21.47	21.53
685.00	22.35	22.50	21.48	21.54
690.00	22.34	22.50	21.48	21.53
695.00	22.36	22.50	21.47	21.54
700.00	22.35	22.50	21.48	21.54
705.00	22.35	22.50	21.48	21.54
710.00	22.36	22.51	21.49	21.54
715.00	22.36	22.51	21.48	21.55
720.00	22.35	22.53	21.49	21.54
725.00	22.36	22.51	21.49	21.54
730.00	22.36	22.52	21.49	21.54
735.00	22.37	22.52	21.50	21.54
740.00	22.36	22.52	21.49	21.55
745.00	22.38	22.53	21.50	21.55
750.00	22.37	22.52	21.50	21.56
755.00	22.36	22.52	21.50	21.56
760.00	22.37	22.51	21.51	21.54
765.00	22.37	22.52	21.49	21.56
770.00	22.38	22.53	21.50	21.56
775.00	22.37	22.52	21.49	21.55
780.00	22.38	22.53	21.49	21.55
785.00	22.38	22.53	21.50	21.55
790.00	22.37	22.53	21.49	21.56
795.00	22.38	22.52	21.49	21.55
800.00	22.38	22.53	21.50	21.56
805.00	22.37	22.53	21.50	21.56
810.00	22.38	22.54	21.50	21.55
815.00	22.37	22.55	21.49	21.56
820.00	22.38	22.54	21.50	21.56
825.00	22.40	22.54	21.50	21.56
830.00	22.38	22.54	21.51	21.56
835.00	22.39	22.53	21.49	21.56
840.00	22.38	22.53	21.50	21.56
845.00	22.40	22.55	21.50	21.57
850.00	22.39	22.53	21.51	21.56
855.00	22.38	22.55	21.51	21.57
860.00	22.39	22.54	21.51	21.57
865.00	22.39	22.54	21.50	21.57
870.00	22.38	22.54	21.51	21.56
875.00	22.38	22.55	21.51	21.57
880.00	22.40	22.55	21.51	21.57
885.00	22.41	22.55	21.52	21.57
890.00	22.38	22.54	21.51	21.57
895.00	22.40	22.54	21.51	21.56
900.00	22.39	22.54	21.51	21.58
905.00	22.39	22.55	21.51	21.56
910.00	22.41	22.55	21.51	21.57
915.00	22.39	22.55	21.50	21.58
920.00	22.40	22.55	21.50	21.58
925.00	22.41	22.54	21.52	21.57
930.00	22.40	22.55	21.51	21.57
935.00	22.40	22.55	21.52	21.58
940.00	22.39	22.56	21.51	21.58
945.00	22.40	22.55	21.52	21.58
950.00	22.40	22.55	21.51	21.58
955.00	22.41	22.55	21.53	21.58
960.00	22.41	22.55	21.53	21.58
965.00	22.39	22.56	21.50	21.58
970.00	22.40	22.55	21.52	21.58
975.00	22.40	22.55	21.52	21.58
980.00	22.41	22.56	21.52	21.58
985.00	22.40	22.56	21.52	21.58
990.00	22.40	22.56	21.53	21.58
995.00	22.41	22.56	21.52	21.59
1000.00	22.41	22.57	21.52	21.59
1005.00	22.41	22.57	21.52	21.58
1010.00	22.40	22.57	21.52	21.58
1015.00	22.42	22.57	21.53	21.59
1020.00	22.41	22.55	21.51	21.58
1025.00	22.42	22.56	21.53	21.58
1030.00	22.42	22.57	21.53	21.58
1035.00	22.40	22.56	21.53	21.59
1040.00	22.42	22.57	21.53	21.57
1045.00	22.42	22.57	21.52	21.58
1050.00	22.41	22.56	21.53	21.59
1055.00	22.41	22.57	21.52	21.59
1060.00	22.42	22.57	21.52	21.59
1065.00	22.41	22.58	21.54	21.58
1070.00	22.42	22.56	21.53	21.59
1075.00	22.43	22.57	21.53	21.58
1080.00	22.42	22.57	21.53	21.59
1085.00	22.41	22.57	21.53	21.59
1090.00	22.42	22.57	21.52	21.59
1095.00	22.42	22.56	21.53	21.61
1100.00	22.41	22.57	21.54	21.59
1105.00	22.42	22.56	21.53	21.60
1110.00	22.42	22.57	21.54	21.59
1115.00	22.43	22.58	21.53	21.60
1120.00	22.40	22.56	21.53	21.60
1125.00	22.42	22.58	21.54	21.60
1130.00	22.42	22.57	21.54	21.60
1135.00	22.41	22.57	21.53	21.59
1140.00	22.43	22.57	21.53	21.59
1145.00	22.42	22.57	21.54	21.59
1150.00	22.42	22.57	21.54	21.59
1155.00	22.43	22.58	21.54	21.58
1160.00	22.43	22.58	21.53	21.60
1165.00	22.42	22.57	21.54	21.60
1170.00	22.42	22.58	21.54	21.60
1175.00	22.43	22.57	21.54	21.60
1180.00	22.43	22.58	21.54	21.60
1185.00	22.43	22.58	21.54	21.60
1190.00	22.41	22.58	21.54	21.60
1195.00	22.42	22.57	21.54	21.59
1200.00	22.44	22.59	21.54	21.60
1205.00	22.43	22.58	21.54	21.59
1210.00	22.43	22.57	21.54	21.60
1215.00	22.43	22.58	21.54	21.61
1220.00	22.42	22.58	21.54	21.60
1225.00	22.42	22.59	21.54	21.62
1230.00	22.44	22.59	21.54	21.60
1235.00	22.42	22.59	21.55	21.60
1240.00	22.43	22.59	21.54	21.60
1245.00	22.43	22.59	21.50	21.60
1250.00	22.43	22.54	21.47	21.54
1255.00	22.43	22.54	21.47	21.53
1260.00	22.43	22.55	21.47	21.53
1265.00	22.43	22.55	21.48	21.53
1270.00	22.43	22.54	21.47	21.52
