Zeit	TemperaturT1	TemperaturT2	TemperaturT3	TemperaturT4
0.00	20.68	20.76	20.56	20.48
5.00	20.67	20.76	20.58	20.48
10.00	20.67	20.78	20.57	20.49
15.00	20.67	20.77	20.57	20.49
20.00	20.67	20.76	20.58	20.49
25.00	20.68	20.77	20.62	20.52
30.00	20.67	20.76	20.66	20.55
35.00	20.67	20.78	20.81	20.81
40.00	20.67	20.77	20.84	20.88
45.00	20.68	20.77	20.88	20.76
50.00	20.68	20.77	20.86	20.71
55.00	20.69	20.78	20.84	20.73
60.00	20.69	20.77	20.83	20.70
65.00	20.68	20.78	20.82	20.67
70.00	20.69	20.77	20.81	20.71
75.00	20.69	20.79	20.78	20.69
80.00	20.68	20.77	20.80	20.69
85.00	20.70	20.79	20.82	20.71
90.00	20.70	20.78	20.80	20.70
95.00	20.70	20.77	20.82	20.72
100.00	20.69	20.78	20.82	20.70
105.00	20.70	20.80	20.81	20.70
110.00	20.70	20.80	20.82	20.70
115.00	20.71	20.78	20.82	20.72
120.00	20.71	20.79	20.80	20.72
125.00	20.70	20.79	20.80	20.72
130.00	20.71	20.79	20.80	20.71
135.00	20.71	20.80	20.79	20.69
140.00	20.72	20.80	20.79	20.69
145.00	20.71	20.81	20.79	20.69
150.00	20.71	20.80	20.79	20.69
155.00	20.72	20.81	20.79	20.69
160.00	20.72	20.80	20.79	20.69
165.00	20.71	20.79	20.77	20.69
170.00	20.72	20.81	20.77	20.68
175.00	20.71	20.80	20.78	20.69
180.00	20.72	20.79	20.78	20.69
185.00	20.72	20.81	20.78	20.69
190.00	20.72	20.81	20.79	20.69
195.00	20.73	20.80	20.79	20.68
200.00	20.71	20.82	20.79	20.70
205.00	20.72	20.81	20.79	20.68
210.00	20.72	20.81	20.79	20.69
215.00	20.71	20.81	20.78	20.69
220.00	20.74	20.81	20.78	20.69
225.00	20.72	20.81	20.78	20.68
230.00	20.72	20.82	20.79	20.68
235.00	20.72	20.82	20.78	20.69
240.00	20.74	20.83	20.79	20.68
245.00	20.73	20.82	20.80	20.68
250.00	20.74	20.83	20.79	20.68
255.00	20.73	20.83	20.79	20.68
260.00	20.74	20.82	20.80	20.69
265.00	20.74	20.82	20.79	20.67
270.00	20.74	20.83	20.80	20.69
275.00	20.74	20.83	20.78	20.68
280.00	20.73	20.84	20.79	20.69
285.00	20.75	20.83	20.79	20.68
290.00	20.74	20.83	20.79	20.68
295.00	20.75	20.84	20.79	20.69
300.00	20.75	20.83	20.79	20.69
305.00	20.74	20.85	20.80	20.69
310.00	20.75	20.86	20.80	20.69
315.00	20.75	20.84	20.79	20.69
320.00	20.74	20.83	20.79	20.69
325.00	20.75	20.84	20.79	20.69
330.00	20.75	20.85	20.79	20.69
335.00	20.75	20.84	20.79	20.70
340.00	20.77	20.85	20.79	20.68
345.00	20.75	20.85	20.80	20.69
350.00	20.77	20.86	20.80	20.69
355.00	20.76	20.86	20.80	20.68
360.00	20.77	20.86	20.80	20.69
365.00	20.78	20.86	20.80	20.69
370.00	20.77	20.86	20.79	20.68
375.00	20.78	20.86	20.80	20.69
380.00	20.78	20.87	20.80	20.69
385.00	20.80	20.88	20.80	20.67
390.00	20.78	20.87	20.80	20.70
395.00	20.79	20.88	20.81	20.68
400.00	20.81	20.89	20.81	20.69
405.00	20.80	20.89	20.80	20.68
410.00	20.81	20.89	20.80	20.70
415.00	20.82	20.91	20.80	20.70
420.00	20.83	20.91	20.79	20.69
425.00	20.83	20.91	20.80	20.70
430.00	20.84	20.92	20.79	20.70
