Zeit	Temperatur T1	Temperatur T2	Temperatur T3	Temperatur T4
t/s	T/ºC	T/ºC	T/ºC	T/ºC

0.00	-17.25	21.13	-18.88	22.12
1.00	-17.29	21.12	-18.89	22.12
2.00	-17.32	21.14	-18.89	22.08
3.00	-17.34	21.15	-18.89	22.09
4.00	-17.37	21.15	-18.89	22.08
5.00	-17.38	21.15	-18.89	22.07
6.00	-17.42	21.16	-18.91	22.06
7.00	-17.43	21.17	-18.91	22.03
8.00	-17.44	21.16	-18.91	22.04
9.00	-17.44	21.13	-18.91	22.04
10.00	-17.45	21.07	-18.92	22.04
11.00	-17.46	20.94	-18.91	22.04
12.00	-17.47	20.87	-18.92	22.04
13.00	-17.48	20.72	-18.93	22.04
14.00	-17.48	20.60	-18.93	22.02
15.00	-17.47	20.40	-18.94	22.01
16.00	-17.48	20.28	-18.92	22.02
17.00	-17.49	20.11	-18.95	22.01
18.00	-17.48	20.03	-18.93	22.00
19.00	-17.48	19.89	-18.94	21.97
20.00	-17.50	19.77	-18.94	21.87
21.00	-17.49	19.71	-18.95	21.57
22.00	-17.50	19.61	-18.95	20.57
23.00	-17.49	19.57	-18.95	19.92
24.00	-17.48	19.45	-18.96	18.82
25.00	-17.49	19.40	-18.96	18.44
26.00	-17.51	19.28	-18.96	17.86
27.00	-17.50	19.22	-18.96	17.67
28.00	-17.50	19.13	-18.96	17.30
29.00	-17.50	19.10	-18.96	17.12
30.00	-17.51	18.99	-18.97	16.81
31.00	-17.50	18.91	-18.97	16.53
32.00	-17.51	18.84	-18.97	16.40
33.00	-17.50	18.71	-18.97	16.17
34.00	-17.51	18.64	-18.98	16.07
35.00	-17.51	18.53	-18.97	15.88
36.00	-17.52	18.45	-18.97	15.80
37.00	-17.51	18.26	-18.99	15.64
38.00	-17.51	18.17	-18.99	15.57
39.00	-17.52	18.09	-18.98	15.42
40.00	-17.52	18.07	-18.99	15.35
41.00	-17.52	18.16	-18.99	15.22
42.00	-17.52	18.16	-18.99	15.15
43.00	-17.52	18.17	-18.99	15.00
44.00	-17.52	18.14	-18.99	14.85
45.00	-17.53	18.05	-18.98	14.69
46.00	-17.53	17.98	-18.99	14.66
47.00	-17.52	17.94	-18.99	14.62
48.00	-17.53	17.82	-18.99	14.57
49.00	-17.53	17.77	-18.99	14.53
